2026-04-25 23:23:26,28.9,72.0,1
2026-04-25 23:23:28,28.9,72.0,1
2026-04-25 23:23:34,28.9,72.0,1
2026-04-25 23:23:37,28.9,72.0,1
2026-04-25 23:23:39,28.9,72.0,1
2026-04-25 23:23:42,28.9,71.0,1
2026-04-25 23:23:44,28.9,71.0,1
2026-04-25 23:23:49,28.9,71.0,1
2026-04-25 23:23:51,28.9,71.0,1
2026-04-25 23:23:53,28.9,71.0,1
2026-04-25 23:23:56,28.9,71.0,1
2026-04-25 23:23:58,28.9,71.0,1
2026-04-25 23:24:00,28.9,71.0,1
2026-04-25 23:24:02,28.9,71.0,1
2026-04-25 23:24:04,28.9,71.0,1
2026-04-25 23:24:06,28.9,71.0,1
2026-04-25 23:24:08,28.9,71.0,1
2026-04-25 23:24:11,28.9,71.0,1
2026-04-25 23:24:13,28.9,71.0,1
2026-04-25 23:24:15,28.9,71.0,1
2026-04-25 23:24:17,28.9,71.0,1
2026-04-25 23:24:20,28.9,71.0,1
2026-04-25 23:24:22,28.9,71.0,1
2026-04-25 23:24:24,28.9,71.0,1
2026-04-25 23:24:26,28.9,71.0,1
2026-04-25 23:24:29,28.9,71.0,1
2026-04-25 23:24:31,28.9,71.0,1
2026-04-25 23:24:33,28.9,71.0,1
2026-04-25 23:24:35,28.9,71.0,1
2026-04-25 23:24:37,28.9,71.0,1
2026-04-25 23:24:40,28.9,71.0,1
2026-04-25 23:24:42,28.9,71.0,1
2026-04-25 23:24:44,28.9,71.0,1
2026-04-25 23:24:46,28.9,71.0,1
2026-04-25 23:24:48,28.9,71.0,1
2026-04-25 23:24:50,28.9,71.0,1
2026-04-25 23:24:53,28.9,71.0,1
2026-04-25 23:24:55,28.9,71.0,1
2026-04-25 23:24:57,28.9,71.0,1
2026-04-25 23:24:59,28.9,71.0,1
2026-04-25 23:25:01,28.9,71.0,1
2026-04-25 23:25:03,28.9,71.0,1
2026-04-25 23:25:06,28.9,71.0,1
2026-04-25 23:25:08,28.9,71.0,1
2026-04-25 23:25:10,28.9,71.0,1
2026-04-25 23:25:12,28.9,71.0,1
2026-04-25 23:25:14,28.9,71.0,1
